00_00_0#1_29_29	(3591)
00_00_100#8_24_24	(1151)
00_00_100#8_11_11	(295)
00_00_100#9_16_16	(vote)
00_00_100#9_9_9	(4188)
00_00_100#9_3_3	(261)
00_00_100#10_14_14	(vote)
00_00_100#10_7_7	(1608)
00_00_100#10_4_4	(1305)
00_00_100#11_6_6	(261)
00_00_100#12_13_13	(-1)
00_00_100#12_6_6	(1730)
00_00_100#12_2_2	(election)
00_00_100#13_19_19	(295)
00_00_100#13_12_12	(1425)
00_00_100#13_1_1	(295)
00_00_100#14_18_18	(3344)
00_00_100#14_15_15	(667)
00_00_100#14_4_4	(4629)
00_00_101#1_31_31	(vote)
00_00_101#1_28_28	(3879)
00_00_101#1_21_21	(election)
00_00_101#1_2_2	(3190)
00_00_101#2_18_18	(election)
00_00_101#2_16_16	(vote)
00_00_101#2_5_5	(289)
00_00_101#4_26_26	(win)
00_00_101#4_25_25	(election)
00_00_101#4_15_15	(vote)
00_00_101#4_2_2	(236)
00_00_101#5_19_19	(3179)
00_00_101#5_8_8	(797)
00_00_101#6_4_4	(2535)
00_00_101#6_2_2	(2719)
00_00_101#7_30_30	(1639)
00_00_101#7_27_27	(2405)
00_00_101#7_14_14	(236)
00_00_101#7_9_9	(3097)
00_00_101#8_7_7	(1244)
00_00_101#8_2_2	(1243)
00_00_102#1_24_24	(964)
00_00_102#1_12_12	(-1)
00_00_102#1_10_10	(win)
00_00_102#1_4_4	(1211)
00_00_102#2_15_15	(2730)
00_00_102#2_12_12	(2094)
00_00_102#2_7_7	(2685)
00_00_102#2_4_4	(vote)
00_00_102#3_20_20	(2221)
00_00_102#4_19_19	(330)
00_00_102#4_16_16	(-1)
00_00_102#4_9_9	(4106)
00_00_102#4_2_2	(250)
00_00_102#4_1_1	(election)
00_00_102#6_24_24	(610)
00_00_102#6_22_22	(-1)
00_00_102#6_6_6	(vote)
00_00_102#7_17_17	(vote)
00_00_102#7_10_10	(2547)
00_00_102#7_2_2	(1462)
00_00_102#8_20_20	(3220)
00_00_102#8_12_12	(2560)
00_00_102#8_9_9	(1132)
00_00_102#8_7_7	(415)
00_00_102#10_10_10	(261)
00_00_102#10_6_6	(3868)
00_00_102#11_13_13	(1719)
00_00_102#11_8_8	(607)
00_00_103#1_16_16	(4631)
00_00_103#2_8_8	(2927)
00_00_103#2_3_3	(537)
00_00_103#2_1_1	(1400)
00_00_103#3_26_26	(protest)
00_00_103#3_16_16	(3152)
00_00_103#3_3_3	(-1)
00_00_103#4_14_14	(vote)
00_00_103#4_2_2	(2866)
00_00_103#4_1_1	(2488)
00_00_103#5_4_4	(2346)
00_00_103#5_2_2	(2682)
00_00_103#6_15_15	(840)
00_00_103#6_11_11	(2867)
00_00_103#6_7_7	(protest)
00_00_103#6_5_5	(1453)
00_00_103#7_4_4	(vote)
00_00_103#8_29_29	(1151)
00_00_103#8_14_14	(250)
00_00_103#8_10_10	(election)
00_00_103#9_1_1	(1453)
00_00_103#11_46_46	(vote)
00_00_103#11_29_29	(2310)
00_00_103#11_7_7	(1444)
00_00_103#12_8_8	(2263)
00_00_103#12_1_1	(2146)
00_00_104#1_17_17	(3534)
00_00_104#1_12_12	(-1)
00_00_104#1_5_5	(2682)
00_00_104#2_11_11	(3749)
00_00_104#2_4_4	(2136)
00_00_104#3_10_10	(2537)
00_00_104#4_17_17	(-1)
00_00_104#6_10_10	(3019)
00_00_104#6_8_8	(2347)
00_00_104#6_4_4	(822)
00_00_104#7_25_25	(3756)
00_00_104#7_24_24	(vote)
00_00_104#7_18_18	(vote)
00_00_104#8_50_50	(1952)
00_00_104#8_47_47	(war)
00_00_104#8_41_41	(1488)
00_00_104#8_24_24	(2449)
00_00_104#8_18_18	(vote)
00_00_104#8_13_13	(3789)
00_00_104#8_11_11	(1523)
00_00_104#8_5_5	(-1)
00_00_104#8_1_1	(1677)
00_00_104#9_11_11	(vote)
00_00_104#9_7_7	(2486)
00_00_104#9_4_4	(-1)
00_00_104#9_2_2	(2662)
00_00_104#10_40_40	(998)
00_00_104#10_36_36	(2444)
00_00_104#10_25_25	(1728)
00_00_104#10_17_17	(2377)
00_00_104#11_6_6	(295)
00_00_104#11_2_2	(election)
00_00_104#12_51_51	(election)
00_00_104#12_49_49	(3882)
00_00_104#12_27_27	(1619)
00_00_104#12_23_23	(1737)
00_00_104#12_11_11	(election)
00_00_104#13_34_34	(866)
00_00_104#13_26_26	(4161)
00_00_104#13_2_2	(2599)
00_00_104#14_5_5	(2971)
00_00_104#14_1_1	(978)
00_00_104#15_9_9	(3333)
00_00_104#15_2_2	(3333)
00_00_104#16_3_3	(2650)
00_00_105#1_35_35	(2704)
00_00_105#2_16_16	(vote)
00_00_105#2_14_14	(4191)
00_00_105#2_3_3	(89)
00_00_105#3_28_28	(261)
00_00_105#3_21_21	(1996)
00_00_105#3_4_4	(668)
00_00_105#4_8_8	(3255)
00_00_105#5_32_32	(1958)
00_00_105#5_23_23	(3503)
00_00_105#6_15_15	(295)
00_00_105#6_10_10	(vote)
00_00_105#7_10_10	(2121)
00_00_105#7_3_3	(4177)
00_00_105#8_20_20	(2306)
00_00_105#8_12_12	(2249)
00_00_105#8_5_5	(2704)
00_00_105#9_3_3	(4633)
00_00_106#1_24_24	(1106)
00_00_106#1_22_22	(2873)
00_00_106#1_21_21	(election)
00_00_106#1_17_17	(protest)
00_00_106#1_12_12	(3408)
00_00_106#1_8_8	(4428)
00_00_106#1_2_2	(1719)
00_00_106#2_19_19	(295)
00_00_106#2_13_13	(4635)
00_00_106#2_12_12	(vote)
00_00_106#2_1_1	(1283)
00_00_106#3_25_25	(win)
00_00_106#3_10_10	(election)
00_00_106#3_3_3	(1283)
00_00_106#4_8_8	(election)
00_00_106#5_30_30	(election)
00_00_106#5_4_4	(vote)
00_00_106#5_3_3	(158)
00_00_106#6_38_38	(4098)
00_00_106#6_36_36	(-1)
00_00_106#6_33_33	(protest)
00_00_106#6_20_20	(1996)
00_00_106#6_5_5	(1719)
00_00_106#6_3_3	(772)
00_00_106#7_46_46	(2852)
00_00_106#7_28_28	(1100)
00_00_106#7_16_16	(384)
00_00_106#7_10_10	(2428)
00_00_106#7_5_5	(384)
00_00_107#1_23_23	(2848)
00_00_107#1_13_13	(3408)
00_00_107#1_3_3	(2968)
00_00_107#2_30_30	(1275)
00_00_107#2_24_24	(388)
00_00_107#2_21_21	(1996)
00_00_107#3_11_11	(330)
00_00_107#3_3_3	(election)
00_00_107#4_27_27	(1737)
00_00_107#4_25_25	(2436)
00_00_107#4_22_22	(576)
00_00_107#4_18_18	(2125)
00_00_107#4_13_13	(war)
00_00_107#5_19_19	(330)
00_00_107#5_15_15	(2974)
00_00_107#5_11_11	(159)
00_00_107#6_13_13	(3131)
00_00_107#6_9_9	(805)
00_00_107#6_7_7	(1368)
00_00_107#7_40_40	(330)
00_00_107#7_19_19	(73)
00_00_107#7_17_17	(protest)
00_00_107#8_25_25	(vote)
00_00_107#8_24_24	(2437)
00_00_107#8_22_22	(vote)
00_00_107#8_11_11	(2348)
00_00_107#8_1_1	(3165)
00_00_107#9_6_6	(1700)
00_00_107#9_3_3	(3221)
00_00_107#10_10_10	(war)
00_00_107#10_3_3	(3561)
00_00_107#12_37_37	(2636)
00_00_107#12_31_31	(2096)
00_00_107#12_29_29	(vote)
00_00_107#12_23_23	(2483)
00_00_107#12_20_20	(3342)
00_00_107#12_12_12	(4637)
00_00_107#13_26_26	(vote)
00_00_107#13_20_20	(2603)
00_00_107#13_11_11	(3828)
00_00_107#13_7_7	(3857)
00_00_107#13_4_4	(3553)
00_00_108#1_39_39	(1209)
00_00_108#1_37_37	(956)
00_00_108#1_31_31	(246)
00_00_108#1_16_16	(2640)
00_00_108#1_9_9	(2767)
00_00_108#1_5_5	(2922)
00_00_108#2_33_33	(-1)
00_00_108#2_27_27	(3822)
00_00_108#2_7_7	(protest)
00_00_108#2_5_5	(840)
00_00_108#2_3_3	(1039)
00_00_108#3_11_11	(protest)
00_00_108#3_3_3	(2596)
00_00_108#4_6_6	(2486)
00_00_108#5_36_36	(573)
00_00_108#5_23_23	(vote)
00_00_108#5_16_16	(war)
00_00_108#5_12_12	(2529)
00_00_108#5_9_9	(election)
00_00_108#5_3_3	(3481)
00_00_108#6_22_22	(-1)
00_00_108#6_19_19	(3458)
00_00_108#6_11_11	(vote)
00_00_108#7_20_20	(election)
00_00_108#7_12_12	(1199)
00_00_108#8_36_36	(4556)
00_00_108#8_31_31	(vote)
00_00_108#8_22_22	(3968)
00_00_108#8_17_17	(623)
00_00_108#8_14_14	(1291)
00_00_108#8_11_11	(1720)
00_00_108#9_37_37	(vote)
00_00_108#9_33_33	(1045)
00_00_108#9_19_19	(3376)
00_00_108#9_18_18	(160)
00_00_108#9_5_5	(295)
00_00_108#10_27_27	(2096)
00_00_108#10_26_26	(161)
00_00_108#10_24_24	(vote)
00_00_108#10_22_22	(3617)
00_00_108#10_19_19	(protest)
00_00_108#10_1_1	(4639)
00_00_108#11_62_62	(291)
00_00_108#11_54_54	(-1)
00_00_108#11_29_29	(31)
00_00_108#11_18_18	(1489)
00_00_108#11_11_11	(election)
00_00_108#12_13_13	(162)
00_00_108#12_11_11	(election)
00_00_108#12_8_8	(vote)
00_00_108#12_6_6	(3884)
00_00_108#13_15_15	(2873)
00_00_108#13_2_2	(459)
00_00_109#1_30_30	(1815)
00_00_109#1_8_8	(election)
00_00_109#2_55_55	(330)
00_00_109#2_52_52	(1770)
00_00_109#2_45_45	(573)
00_00_109#2_41_41	(1212)
00_00_109#2_25_25	(war)
00_00_109#2_19_19	(3010)
00_00_109#2_17_17	(1524)
00_00_109#2_9_9	(999)
00_00_109#2_3_3	(election)
00_00_109#3_13_13	(4171)
00_00_109#3_7_7	(1651)
00_00_109#3_2_2	(1950)
00_00_109#5_22_22	(578)
00_00_109#5_11_11	(election)
00_00_109#5_9_9	(2717)
00_00_109#6_23_23	(330)
00_00_109#6_17_17	(4434)
00_00_109#7_15_15	(-1)
00_00_109#8_27_27	(vote)
00_00_109#8_24_24	(election)
00_00_109#8_18_18	(578)
00_00_109#8_0_0	(74)
00_00_109#9_39_39	(2221)
00_00_109#9_29_29	(236)
00_00_109#9_25_25	(3349)
00_00_109#9_16_16	(vote)
00_00_109#9_8_8	(election)
00_00_109#9_2_2	(3839)
00_00_109#10_34_34	(3975)
00_00_109#10_16_16	(3061)
00_00_11#1_28_28	(2045)
00_00_11#1_24_24	(1504)
00_00_11#1_14_14	(4064)
00_00_11#2_35_35	(4449)
00_00_11#2_32_32	(war)
00_00_11#2_14_14	(election)
00_00_11#2_11_11	(win)
00_00_11#2_10_10	(2661)
00_00_11#3_26_26	(236)
00_00_11#3_24_24	(4066)
00_00_11#3_13_13	(-1)
00_00_11#3_9_9	(2748)
00_00_11#4_17_17	(3174)
00_00_11#4_13_13	(vote)
00_00_11#4_5_5	(289)
00_00_11#5_7_7	(68)
00_00_11#5_1_1	(578)
00_00_11#6_17_17	(274)
00_00_11#6_2_2	(3616)
00_00_11#7_43_43	(964)
00_00_11#7_25_25	(3471)
00_00_11#7_23_23	(2021)
00_00_11#7_16_16	(war)
00_00_11#7_2_2	(4451)
00_00_110#1_26_26	(457)
00_00_110#1_14_14	(election)
00_00_110#1_11_11	(1458)
00_00_110#1_9_9	(2822)
00_00_110#1_4_4	(1251)
00_00_110#1_3_3	(236)
00_00_110#2_13_13	(69)
00_00_110#2_9_9	(330)
00_00_110#2_6_6	(2043)
00_00_110#3_36_36	(4560)
00_00_110#3_29_29	(2798)
00_00_110#3_27_27	(win)
00_00_110#3_26_26	(election)
00_00_110#3_23_23	(3826)
00_00_110#3_18_18	(2876)
00_00_110#3_12_12	(3469)
00_00_110#3_2_2	(2584)
00_00_110#4_7_7	(841)
00_00_110#6_28_28	(-1)
00_00_110#6_19_19	(3164)
00_00_110#6_3_3	(4596)
00_00_110#7_30_30	(1110)
00_00_110#8_1_1	(2001)
00_00_110#9_25_25	(3068)
00_00_110#9_19_19	(-1)
00_00_110#9_16_16	(1251)
00_00_110#9_13_13	(2876)
00_00_110#9_10_10	(1993)
00_00_110#9_8_8	(2719)
00_00_110#10_16_16	(2719)
00_00_110#10_14_14	(2001)
00_00_110#11_11_11	(2001)
00_00_110#11_9_9	(3618)
00_00_110#12_12_12	(719)
00_00_110#12_6_6	(2798)
00_00_110#13_26_26	(election)
00_00_110#13_24_24	(906)
00_00_110#13_10_10	(vote)
00_00_110#13_6_6	(4604)
00_00_110#13_2_2	(vote)
00_00_110#14_17_17	(election)
00_00_110#14_9_9	(1320)
00_00_110#14_3_3	(election)
00_00_110#15_11_11	(250)
00_00_110#15_9_9	(election)
00_00_110#16_22_22	(941)
00_00_110#16_5_5	(3707)
00_00_110#16_3_3	(1230)
00_00_110#16_2_2	(election)
00_00_110#17_29_29	(1103)
00_00_110#17_24_24	(4430)
00_00_110#17_1_1	(4586)
00_00_110#18_12_12	(236)
00_00_110#18_7_7	(3015)
00_00_110#19_2_2	(3008)
00_00_110#20_26_26	(war)
00_00_110#20_20_20	(4053)
00_00_110#20_2_2	(106)
00_00_110#21_23_23	(979)
00_00_110#21_8_8	(2114)
00_00_110#22_6_6	(-1)
00_00_111#1_59_59	(80)
00_00_111#1_54_54	(-1)
00_00_111#1_19_19	(1366)
00_00_111#1_17_17	(604)
00_00_111#1_16_16	(election)
00_00_111#1_13_13	(vote)
00_00_111#1_2_2	(protest)
00_00_111#2_31_31	(2956)
00_00_111#3_25_25	(2119)
00_00_111#3_15_15	(1792)
00_00_111#3_7_7	(2884)
00_00_111#5_23_23	(election)
00_00_111#6_11_11	(2500)
00_00_111#6_0_0	(526)
00_00_111#8_15_15	(1921)
00_00_111#8_12_12	(324)
00_00_111#8_2_2	(3289)
00_00_111#9_8_8	(protest)
00_00_111#10_18_18	(163)
00_00_111#10_3_3	(592)
00_00_111#11_4_4	(1726)
00_00_111#12_1_1	(protest)
00_00_111#14_11_11	(1973)
00_00_111#14_6_6	(2595)
00_00_111#15_18_18	(3798)
00_00_111#15_5_5	(2595)
00_00_111#16_17_17	(1689)
00_00_111#16_12_12	(protest)
00_00_111#16_6_6	(80)
00_00_111#16_3_3	(1034)
00_00_112#1_20_20	(3152)
00_00_112#1_16_16	(4192)
00_00_112#1_9_9	(-1)
00_00_112#2_22_22	(3153)
00_00_112#2_20_20	(80)
00_00_112#2_12_12	(protest)
00_00_112#2_5_5	(80)
00_00_112#3_39_39	(protest)
00_00_112#3_36_36	(702)
00_00_112#3_31_31	(3545)
00_00_112#3_23_23	(vote)
00_00_112#3_7_7	(protest)
00_00_112#3_5_5	(1753)
00_00_112#3_1_1	(75)
00_00_112#4_8_8	(protest)
00_00_112#5_33_33	(3649)
00_00_112#5_25_25	(3377)
00_00_112#5_20_20	(4530)
00_00_112#5_19_19	(4060)
00_00_112#5_8_8	(576)
00_00_112#6_8_8	(330)
00_00_112#6_5_5	(3866)
00_00_112#7_32_32	(4576)
00_00_112#7_23_23	(1719)
00_00_112#7_15_15	(3870)
00_00_112#7_4_4	(election)
00_00_112#8_6_6	(1368)
00_00_112#9_11_11	(964)
00_00_112#9_4_4	(4574)
00_00_112#10_18_18	(win)
00_00_112#10_8_8	(vote)
00_00_112#10_1_1	(1985)
00_00_112#11_43_43	(1110)
00_00_112#11_40_40	(295)
00_00_112#11_37_37	(229)
00_00_112#12_18_18	(459)
00_00_112#12_16_16	(election)
00_00_112#13_23_23	(vote)
00_00_112#13_5_5	(1765)
00_00_112#13_4_4	(election)
00_00_112#14_4_4	(1366)
00_00_112#14_2_2	(2803)
00_00_112#15_26_26	(1483)
00_00_112#15_10_10	(3554)
00_00_112#15_0_0	(907)
00_00_112#16_8_8	(2969)
00_00_112#16_3_3	(978)
00_00_112#17_9_9	(3333)
00_00_113#1_5_5	(1475)
00_00_113#2_41_41	(610)
00_00_113#2_9_9	(2595)
00_00_113#2_8_8	(-1)
00_00_113#3_5_5	(war)
00_00_113#4_48_48	(war)
00_00_113#4_30_30	(election)
00_00_113#4_21_21	(vote)
00_00_113#4_12_12	(election)
00_00_113#4_8_8	(vote)
00_00_113#5_39_39	(2096)
00_00_113#5_37_37	(election)
00_00_113#5_24_24	(-1)
00_00_113#5_16_16	(3510)
00_00_113#6_5_5	(-1)
00_00_113#7_16_16	(vote)
00_00_113#7_3_3	(1466)
00_00_113#8_6_6	(2121)
00_00_113#9_24_24	(1079)
00_00_113#9_21_21	(vote)
00_00_113#9_14_14	(1542)
00_00_113#10_21_21	(3542)
00_00_113#10_19_19	(1321)
00_00_113#10_6_6	(2121)
00_00_113#11_25_25	(1361)
00_00_113#12_31_31	(718)
00_00_113#12_27_27	(90)
00_00_113#12_19_19	(2548)
00_00_113#12_6_6	(-1)
00_00_114#1_43_43	(416)
00_00_114#1_36_36	(2991)
00_00_114#1_17_17	(2803)
00_00_114#2_63_63	(1110)
00_00_114#2_33_33	(2221)
00_00_114#2_25_25	(2349)
00_00_114#2_24_24	(election)
00_00_114#2_4_4	(vote)
00_00_114#2_2_2	(win)
00_00_114#3_11_11	(2661)
00_00_114#3_6_6	(-1)
00_00_114#3_3_3	(2058)
00_00_114#4_31_31	(3590)
00_00_114#4_26_26	(2742)
00_00_114#4_22_22	(war)
00_00_114#4_8_8	(455)
00_00_114#4_1_1	(2561)
00_00_114#5_5_5	(war)
00_00_115#1_10_10	(1410)
00_00_115#1_3_3	(election)
00_00_115#2_13_13	(816)
00_00_115#2_4_4	(2571)
00_00_115#3_26_26	(776)
00_00_115#3_22_22	(164)
00_00_115#3_6_6	(1251)
00_00_115#4_42_42	(3137)
00_00_115#4_22_22	(3108)
00_00_115#4_19_19	(3107)
00_00_115#4_17_17	(236)
00_00_115#4_16_16	(election)
00_00_115#4_7_7	(4614)
00_00_115#4_1_1	(war)
00_00_115#5_18_18	(323)
00_00_115#5_14_14	(3799)
00_00_115#5_10_10	(war)
00_00_115#5_5_5	(1411)
00_00_115#6_53_53	(war)
00_00_115#6_49_49	(776)
00_00_115#6_29_29	(-1)
00_00_115#7_26_26	(election)
00_00_115#7_23_23	(2094)
00_00_115#7_13_13	(478)
00_00_115#7_10_10	(2992)
00_00_115#8_20_20	(3547)
00_00_115#8_18_18	(3001)
00_00_115#8_10_10	(3514)
00_00_115#9_42_42	(1932)
00_00_115#9_33_33	(2791)
00_00_115#9_28_28	(2094)
00_00_115#9_10_10	(417)
00_00_115#10_19_19	(418)
00_00_116#1_43_43	(-1)
00_00_116#1_15_15	(571)
00_00_116#1_11_11	(3440)
00_00_116#1_5_5	(war)
00_00_116#1_3_3	(419)
00_00_116#2_23_23	(3350)
00_00_116#2_18_18	(election)
00_00_116#2_15_15	(-1)
00_00_116#2_6_6	(2742)
00_00_116#3_29_29	(2822)
00_00_116#3_26_26	(4194)
00_00_116#3_24_24	(987)
00_00_116#3_5_5	(vote)
00_00_116#4_28_28	(2742)
00_00_116#4_26_26	(2579)
00_00_116#4_18_18	(election)
00_00_116#4_13_13	(2976)
00_00_116#4_1_1	(2601)
00_00_116#5_45_45	(165)
00_00_116#5_31_31	(1159)
00_00_116#5_22_22	(2574)
00_00_116#5_17_17	(war)
00_00_116#5_12_12	(4396)
00_00_116#5_9_9	(3107)
00_00_116#6_10_10	(2742)
00_00_116#6_3_3	(4197)
00_00_116#7_13_13	(4197)
00_00_116#7_8_8	(election)
00_00_116#7_2_2	(1251)
00_00_116#8_24_24	(1856)
00_00_116#8_21_21	(2010)
00_00_116#8_19_19	(3071)
00_00_116#8_12_12	(-1)
00_00_116#8_3_3	(1573)
00_00_116#8_2_2	(3358)
00_00_116#9_19_19	(3909)
00_00_116#9_15_15	(1430)
00_00_116#9_9_9	(-1)
00_00_116#10_41_41	(2036)
00_00_116#10_39_39	(war)
00_00_116#10_37_37	(4641)
00_00_116#10_36_36	(1701)
00_00_116#10_31_31	(323)
00_00_116#11_43_43	(-1)
00_00_116#11_34_34	(2574)
00_00_116#11_9_9	(4196)
00_00_117#1_35_35	(1494)
00_00_117#1_23_23	(3590)
00_00_117#1_11_11	(2059)
00_00_117#1_5_5	(3358)
00_00_117#2_3_3	(4643)
00_00_117#3_30_30	(3002)
00_00_117#3_3_3	(1020)
00_00_117#4_14_14	(4626)
00_00_117#4_6_6	(964)
00_00_117#4_1_1	(908)
00_00_117#5_22_22	(3589)
00_00_117#5_9_9	(4165)
00_00_117#5_7_7	(war)
00_00_117#6_18_18	(1857)
00_00_117#6_16_16	(2350)
00_00_117#6_8_8	(4074)
00_00_117#7_36_36	(4165)
00_00_117#7_28_28	(4049)
00_00_117#7_22_22	(1441)
00_00_117#7_17_17	(3138)
00_00_117#8_5_5	(4480)
00_00_117#9_12_12	(2228)
00_00_117#10_24_24	(3557)
00_00_117#10_16_16	(-1)
00_00_117#11_3_3	(1442)
00_00_117#12_7_7	(2994)
00_00_117#14_25_25	(2833)
00_00_117#14_19_19	(3043)
00_00_117#14_10_10	(3589)
00_00_117#14_7_7	(1933)
00_00_117#15_10_10	(-1)
00_00_118#1_29_29	(3592)
00_00_118#1_24_24	(2582)
00_00_118#1_21_21	(3200)
00_00_118#1_11_11	(election)
00_00_118#1_10_10	(2661)
00_00_118#1_3_3	(1366)
00_00_118#2_32_32	(3427)
00_00_118#2_16_16	(1204)
00_00_118#2_3_3	(1815)
00_00_118#3_13_13	(war)
00_00_118#3_10_10	(999)
00_00_118#3_7_7	(protest)
00_00_118#3_5_5	(80)
00_00_118#3_3_3	(2811)
00_00_118#4_17_17	(vote)
00_00_118#4_12_12	(1487)
00_00_118#4_7_7	(election)
00_00_118#4_4_4	(289)
00_00_118#5_7_7	(election)
00_00_118#5_5_5	(2717)
00_00_118#6_21_21	(32)
00_00_118#6_20_20	(2895)
00_00_118#6_17_17	(election)
00_00_118#7_41_41	(2983)
00_00_118#7_34_34	(3011)
00_00_118#7_26_26	(1952)
00_00_118#7_14_14	(576)
00_00_118#7_3_3	(election)
00_00_118#8_22_22	(2813)
00_00_118#8_17_17	(vote)
00_00_118#8_15_15	(2060)
00_00_118#8_9_9	(election)
00_00_119#1_12_12	(3105)
00_00_119#1_7_7	(war)
00_00_119#1_2_2	(1457)
00_00_119#2_22_22	(1110)
00_00_119#2_16_16	(1993)
00_00_119#2_14_14	(2584)
00_00_119#3_18_18	(250)
00_00_119#5_23_23	(866)
00_00_119#5_6_6	(1369)
00_00_119#6_27_27	(253)
00_00_119#6_25_25	(1607)
00_00_119#6_19_19	(2521)
00_00_119#6_11_11	(3594)
00_00_119#6_4_4	(236)
00_00_119#6_0_0	(3107)
00_00_119#7_13_13	(1029)
00_00_119#7_6_6	(3596)
00_00_119#7_0_0	(524)
00_00_119#8_12_12	(1426)
00_00_119#9_26_26	(2576)
00_00_119#9_20_20	(2922)
00_00_119#9_17_17	(420)
00_00_119#9_5_5	(3208)
00_00_119#10_19_19	(1382)
00_00_119#10_14_14	(2479)
00_00_119#11_25_25	(999)
00_00_119#12_20_20	(vote)
00_00_119#12_12_12	(289)
00_00_119#13_12_12	(610)
00_00_119#14_20_20	(vote)
00_00_119#14_14_14	(2030)
00_00_119#14_12_12	(1368)
00_00_119#14_2_2	(1110)
00_00_119#15_22_22	(2306)
00_00_119#15_17_17	(2436)
00_00_119#15_15_15	(election)
00_00_119#15_4_4	(295)
00_00_119#16_35_35	(vote)
00_00_119#16_21_21	(295)
00_00_119#16_12_12	(1110)
00_00_119#16_8_8	(vote)
00_00_119#16_6_6	(election)
00_00_119#16_4_4	(3598)
00_00_119#17_16_16	(866)
00_00_119#17_13_13	(3600)
00_00_12#1_2_2	(1956)
00_00_12#2_23_23	(4453)
00_00_12#2_21_21	(-1)
00_00_12#2_19_19	(573)
